商品,日期,PMI,预测值,前值,PMI_同比
中国官方制造业PMI,2009-09,54.0,,53.3,1.3133208255159623
中国官方制造业PMI,2009-10,54.3,,54.0,0.5555555555555536
中国官方制造业PMI,2009-11,55.2,,54.3,1.6574585635359185
中国官方制造业PMI,2009-12,55.2,,55.2,0.0
中国官方制造业PMI,2010-01,56.6,,55.2,2.53623188405796
中国官方制造业PMI,2010-02,55.8,,56.6,-1.4134275618374659
中国官方制造业PMI,2010-03,52.0,,55.8,-6.810035842293905
中国官方制造业PMI,2010-04,55.1,,52.0,5.961538461538463
中国官方制造业PMI,2010-05,55.7,,55.1,1.0889292196007316
中国官方制造业PMI,2010-06,53.9,,55.7,-3.2315978456014416
中国官方制造业PMI,2010-07,52.1,,53.9,-3.3395176252319025
中国官方制造业PMI,2010-08,51.2,,52.1,-1.7274472168905874
中国官方制造业PMI,2010-09,51.7,,51.2,0.9765625
中国官方制造业PMI,2010-10,53.8,,51.7,4.061895551257244
中国官方制造业PMI,2010-11,54.7,,53.8,1.6728624535315983
中国官方制造业PMI,2010-12,55.2,,54.7,0.9140767824497242
中国官方制造业PMI,2011-01,53.9,,55.2,-2.3550724637681264
中国官方制造业PMI,2011-02,52.9,,53.9,-1.855287569573283
中国官方制造业PMI,2011-03,52.2,,52.9,-1.3232514177693666
中国官方制造业PMI,2011-04,53.4,,52.2,2.298850574712641
中国官方制造业PMI,2011-05,52.9,,53.4,-0.9363295880149836
中国官方制造业PMI,2011-06,52.0,,52.9,-1.7013232514177634
中国官方制造业PMI,2011-07,50.9,,52.0,-2.115384615384619
中国官方制造业PMI,2011-08,50.7,,50.9,-0.39292730844793233
中国官方制造业PMI,2011-09,50.9,,50.7,0.39447731755424265
中国官方制造业PMI,2011-10,51.2,,50.9,0.5893909626719207
中国官方制造业PMI,2011-11,50.4,,51.2,-1.562500000000011
中国官方制造业PMI,2011-12,49.0,,50.4,-2.777777777777779
中国官方制造业PMI,2012-01,50.3,,49.0,2.6530612244897833
中国官方制造业PMI,2012-02,50.5,,50.3,0.3976143141153132
中国官方制造业PMI,2012-03,51.0,,50.5,0.990099009900991
中国官方制造业PMI,2012-04,53.1,51.0,51.0,4.117647058823537
中国官方制造业PMI,2012-05,53.3,53.6,53.1,0.37664783427493465
中国官方制造业PMI,2012-06,50.4,52.2,53.3,-5.44090056285178
中国官方制造业PMI,2012-07,50.2,49.8,50.4,-0.3968253968253843
中国官方制造业PMI,2012-08,50.1,50.3,50.2,-0.19920318725099584
中国官方制造业PMI,2012-09,49.2,50.0,50.1,-1.7964071856287345
中国官方制造业PMI,2012-10,49.8,49.8,49.2,1.21951219512193
中国官方制造业PMI,2012-11,50.2,50.3,49.8,0.8032128514056325
中国官方制造业PMI,2012-12,50.6,50.6,50.2,0.7968127490039834
中国官方制造业PMI,2013-01,50.6,51.0,50.6,0.0
中国官方制造业PMI,2013-02,50.4,50.9,50.6,-0.39525691699605625
中国官方制造业PMI,2013-03,50.1,50.2,50.4,-0.5952380952380931
中国官方制造业PMI,2013-04,50.9,52.0,50.1,1.5968063872255467
中国官方制造业PMI,2013-05,50.6,51.0,50.9,-0.5893909626718985
中国官方制造业PMI,2013-06,50.8,50.1,50.6,0.39525691699604515
中国官方制造业PMI,2013-07,50.1,50.0,50.8,-1.3779527559054983
中国官方制造业PMI,2013-08,50.3,49.9,50.1,0.39920159680637557
中国官方制造业PMI,2013-09,51.0,50.6,50.3,1.3916500994035852
中国官方制造业PMI,2013-10,51.1,51.5,51.0,0.19607843137254832
中国官方制造业PMI,2013-11,51.4,51.2,51.1,0.5870841487279899
中国官方制造业PMI,2013-12,51.4,51.1,51.4,0.0
中国官方制造业PMI,2014-01,51.0,51.2,51.4,-0.7782101167315147
中国官方制造业PMI,2014-02,50.5,50.5,51.0,-0.9803921568627416
中国官方制造业PMI,2014-03,50.2,50.1,50.5,-0.5940594059405835
中国官方制造业PMI,2014-04,50.3,50.3,50.2,0.19920318725097363
中国官方制造业PMI,2014-05,50.4,50.5,50.3,0.19880715705766772
中国官方制造业PMI,2014-06,50.8,50.6,50.4,0.7936507936507908
中国官方制造业PMI,2014-07,51.0,51.0,50.8,0.3937007874015741
中国官方制造业PMI,2014-08,51.7,51.4,51.0,1.3725490196078383
中国官方制造业PMI,2014-09,51.1,51.2,51.7,-1.1605415860735047
中国官方制造业PMI,2014-10,51.1,51.0,51.1,0.0
中国官方制造业PMI,2014-11,50.8,51.2,51.1,-0.5870841487279899
中国官方制造业PMI,2014-12,50.3,50.5,50.8,-0.9842519685039353
中国官方制造业PMI,2015-01,50.1,50.1,50.3,-0.3976143141153021
中国官方制造业PMI,2015-02,49.8,50.2,50.1,-0.5988023952095856
中国官方制造业PMI,2015-03,49.9,49.7,49.8,0.20080321285140812
中国官方制造业PMI,2015-04,50.1,49.7,49.9,0.4008016032064132
中国官方制造业PMI,2015-05,50.1,50.0,50.1,0.0
中国官方制造业PMI,2015-06,50.2,50.2,50.1,0.1996007984031989
中国官方制造业PMI,2015-07,50.2,50.3,50.2,0.0
中国官方制造业PMI,2015-08,50.0,50.2,50.2,-0.3984063745020028
中国官方制造业PMI,2015-09,49.7,49.7,50.0,-0.5999999999999894
中国官方制造业PMI,2015-10,49.8,49.6,49.7,0.2012072434607548
中国官方制造业PMI,2015-11,49.8,50.0,49.8,0.0
中国官方制造业PMI,2015-12,49.6,49.8,49.8,-0.40160642570280514
中国官方制造业PMI,2016-01,49.7,49.7,49.6,0.20161290322580072
中国官方制造业PMI,2016-02,49.4,49.6,49.7,-0.6036217303822977
中国官方制造业PMI,2016-03,49.0,49.3,49.4,-0.8097165991902799
中国官方制造业PMI,2016-04,50.2,49.3,49.0,2.448979591836742
中国官方制造业PMI,2016-05,50.1,50.4,50.2,-0.19920318725099584
中国官方制造业PMI,2016-06,50.1,50.0,50.1,0.0
中国官方制造业PMI,2016-07,50.0,50.0,50.1,-0.1996007984031989
中国官方制造业PMI,2016-08,49.9,50.0,50.0,-0.20000000000000018
中国官方制造业PMI,2016-09,50.4,49.9,49.9,1.002004008016022
中国官方制造业PMI,2016-10,50.4,50.4,50.4,0.0
中国官方制造业PMI,2016-11,51.2,50.4,50.4,1.5873015873016039
中国官方制造业PMI,2016-12,51.7,51.0,51.2,0.9765625
中国官方制造业PMI,2017-01,51.4,51.5,51.7,-0.5802707930367634
中国官方制造业PMI,2017-02,51.3,51.2,51.4,-0.1945525291828787
中国官方制造业PMI,2017-03,51.6,51.1,51.3,0.5847953216374435
中国官方制造业PMI,2017-03,51.8,51.6,51.6,0.3875968992248069
中国官方制造业PMI,2017-04,51.2,51.6,51.8,-1.1583011583011449
中国官方制造业PMI,2017-05,51.2,51.0,51.2,0.0
中国官方制造业PMI,2017-06,51.7,51.0,51.2,0.9765625
中国官方制造业PMI,2017-07,51.4,51.6,51.7,-0.5802707930367634
中国官方制造业PMI,2017-08,51.7,51.3,51.4,0.5836575875486361
中国官方制造业PMI,2017-09,52.4,51.5,51.7,1.3539651837524147
中国官方制造业PMI,2017-10,51.6,52.0,52.4,-1.5267175572518998
中国官方制造业PMI,2017-11,51.8,51.4,51.6,0.3875968992248069
中国官方制造业PMI,2017-12,51.6,51.6,51.8,-0.3861003861003742
中国官方制造业PMI,2018-01,51.3,51.5,51.6,-0.5813953488372214
中国官方制造业PMI,2018-02,50.3,51.4,51.3,-1.949317738791423
中国官方制造业PMI,2018-03,51.5,50.5,50.3,2.385685884691857
中国官方制造业PMI,2018-04,51.4,51.3,51.5,-0.1941747572815511
中国官方制造业PMI,2018-05,51.9,51.4,51.4,0.9727626459143934
中国官方制造业PMI,2018-06,51.5,51.6,51.9,-0.770712909441229
中国官方制造业PMI,2018-07,51.2,51.4,51.5,-0.5825242718446533
中国官方制造业PMI,2018-08,51.3,51.0,51.2,0.1953124999999778
中国官方制造业PMI,2018-09,50.8,51.2,51.3,-0.974658869395717
中国官方制造业PMI,2018-10,50.2,50.6,50.8,-1.1811023622047112
中国官方制造业PMI,2018-11,50.0,50.2,50.2,-0.3984063745020028
中国官方制造业PMI,2018-12,49.4,50.0,50.0,-1.200000000000001
中国官方制造业PMI,2019-01,49.5,49.3,49.4,0.2024291497975783
中国官方制造业PMI,2019-02,49.2,49.5,49.5,-0.6060606060605989
中国官方制造业PMI,2019-03,50.5,49.5,49.2,2.6422764227642226
中国官方制造业PMI,2019-04,50.1,50.7,50.5,-0.7920792079207928
中国官方制造业PMI,2019-05,49.4,49.9,50.1,-1.397205588822359
中国官方制造业PMI,2019-06,49.4,49.5,49.4,0.0
中国官方制造业PMI,2019-07,49.7,49.6,49.4,0.6072874493927127
中国官方制造业PMI,2019-08,49.5,49.7,49.7,-0.4024144869215318
中国官方制造业PMI,2019-09,49.8,49.5,49.5,0.60606060606061
中国官方制造业PMI,2019-10,49.3,49.9,49.8,-1.0040160642570295
中国官方制造业PMI,2019-11,50.2,49.5,49.3,1.8255578093306468
中国官方制造业PMI,2019-12,50.2,50.1,50.2,0.0
中国官方制造业PMI,2020-01,50.0,50.0,50.2,-0.3984063745020028
中国官方制造业PMI,2020-02,35.7,46.0,50.0,-28.59999999999999
中国官方制造业PMI,2020-03,52.0,45.0,35.7,45.65826330532212
中国官方制造业PMI,2020-04,50.8,51.0,52.0,-2.3076923076923106
中国官方制造业PMI,2020-05,50.6,51.0,50.8,-0.393700787401563
中国官方制造业PMI,2020-06,50.9,50.4,50.6,0.5928853754940677
中国官方制造业PMI,2020-07,51.1,50.7,50.9,0.39292730844793233
中国官方制造业PMI,2020-08,51.0,51.2,51.1,-0.195694716242667
中国官方制造业PMI,2020-09,51.5,51.2,51.0,0.9803921568627416
中国官方制造业PMI,2020-10,51.4,51.3,51.5,-0.1941747572815511
中国官方制造业PMI,2020-11,52.1,51.5,51.4,1.3618677042801508
中国官方制造业PMI,2020-12,51.9,52.0,52.1,-0.38387715930903177
中国官方制造业PMI,2021-01,51.3,51.6,51.9,-1.1560693641618491
中国官方制造业PMI,2021-02,50.6,51.1,51.3,-1.3645224171539905
中国官方制造业PMI,2021-03,51.9,51.0,50.6,2.5691699604742935
中国官方制造业PMI,2021-04,51.1,51.7,51.9,-1.541425818882458
中国官方制造业PMI,2021-05,51.0,51.1,51.1,-0.195694716242667
中国官方制造业PMI,2021-06,50.9,50.8,51.0,-0.19607843137254832
中国官方制造业PMI,2021-07,50.4,50.8,50.9,-0.9823182711198419
中国官方制造业PMI,2021-08,50.1,50.2,50.4,-0.5952380952380931
中国官方制造业PMI,2021-09,49.6,50.1,50.1,-0.9980039920159722
中国官方制造业PMI,2021-10,49.2,49.7,49.6,-0.8064516129032251
中国官方制造业PMI,2021-11,50.1,49.6,49.2,1.8292682926829285
中国官方制造业PMI,2021-12,50.3,50.0,50.1,0.39920159680637557
中国官方制造业PMI,2022-01,50.1,50.0,50.3,-0.3976143141153021
中国官方制造业PMI,2022-01,,50.0,50.3,0.0
中国官方制造业PMI,2022-03,50.2,49.9,50.1,0.1996007984031989
中国官方制造业PMI,2022-03,49.5,49.9,50.2,-1.394422310756982
中国官方制造业PMI,2022-04,47.4,48.0,49.5,-4.2424242424242475
中国官方制造业PMI,2022-05,49.6,48.0,47.4,4.641350210970474
中国官方制造业PMI,2022-06,50.2,50.5,49.6,1.2096774193548487
中国官方制造业PMI,2022-07,49.0,50.4,50.2,-2.390438247011961
中国官方制造业PMI,2022-08,49.4,49.2,49.0,0.8163265306122325
中国官方制造业PMI,2022-09,50.1,49.6,49.4,1.4170040485830038
中国官方制造业PMI,2022-10,,,49.4,0.0
中国官方制造业PMI,2022-10,49.2,50.0,50.1,-1.7964071856287345
中国官方制造业PMI,2022-11,48.0,49.0,49.2,-2.4390243902439046
中国官方制造业PMI,2022-12,47.0,48.0,48.0,-2.083333333333337
中国官方制造业PMI,2023-01,50.1,49.8,47.0,6.595744680851068
中国官方制造业PMI,2023-03,52.6,50.5,50.1,4.990019960079839
中国官方制造业PMI,2023-03,51.9,51.5,52.6,-1.3307984790874583
中国官方制造业PMI,2023-04,49.2,51.4,51.9,-5.202312138728315
中国官方制造业PMI,2023-05,48.8,51.4,49.2,-0.8130081300813163
中国官方制造业PMI,2023-06,49.0,49.0,48.8,0.4098360655737654
中国官方制造业PMI,2023-07,49.3,49.2,49.0,0.6122448979591688
中国官方制造业PMI,2023-08,49.7,49.4,49.3,0.8113590263691739
中国官方制造业PMI,2023-09,50.2,50.2,49.7,1.0060362173038184
中国官方制造业PMI,2023-10,49.5,50.2,50.2,-1.394422310756982
中国官方制造业PMI,2023-11,49.4,49.7,49.5,-0.20202020202020332
中国官方制造业PMI,2023-12,49.0,49.5,49.4,-0.8097165991902799
中国官方制造业PMI,2024-01,49.2,49.2,49.0,0.40816326530612734
中国官方制造业PMI,2024-03,49.1,49.1,49.2,-0.20325203252032908
中国官方制造业PMI,2024-03,50.8,50.1,49.1,3.462321792260692
中国官方制造业PMI,2024-04,50.4,50.3,50.8,-0.7874015748031482
中国官方制造业PMI,2024-05,49.5,50.5,50.4,-1.7857142857142794
中国官方制造业PMI,2024-06,49.5,49.5,49.5,0.0
中国官方制造业PMI,2024-07,49.4,49.4,49.5,-0.20202020202020332
中国官方制造业PMI,2024-08,49.1,49.5,49.4,-0.6072874493927016
中国官方制造业PMI,2024-09,49.8,49.4,49.1,1.4256619144602745
中国官方制造业PMI,2024-10,50.1,49.8,49.8,0.6024096385542244
中国官方制造业PMI,2024-11,50.3,50.2,50.1,0.39920159680637557
中国官方制造业PMI,2024-12,50.1,50.3,50.3,-0.3976143141153021
中国官方制造业PMI,2025-01,49.1,50.1,50.1,-1.9960079840319334
中国官方制造业PMI,2025-03,50.2,50.0,49.1,2.2403258655804503
中国官方制造业PMI,2025-03,50.5,50.4,50.2,0.5976095617529875
中国官方制造业PMI,2025-04,49.0,49.7,50.5,-2.970297029702973
中国官方制造业PMI,2025-05,49.5,49.5,49.0,1.0204081632652962
中国官方制造业PMI,2025-06,49.7,49.6,49.5,0.40404040404040664
中国官方制造业PMI,2025-07,49.3,49.7,49.7,-0.8048289738430747
